 -30.709  4.111  1.450  0.317 -0.317-63.799  0.000 14.676  -0.39
 11818 645 1 1 2 1 1113.7188 1114.7847
 13.991 -0.675 -7.321 -6.602-23.578 -9.708  0.302  2.561 -7.247
 -23.759  0.465  2.561  0.550 -0.550-22.261  0.000 14.160  -0.61
 11818 645 1 1 2 1 1113.7188 1114.7847
 14.472 -0.479 -7.113 -6.602-24.091 -9.708  0.164  2.561 -7.247
 -23.759  0.465  2.561  0.550 -0.550-22.261  0.000 14.160  -0.61
 11818 645 1 1 2 1 1113.7188 1114.7847
 14.962  0.865 15.427 16.348-30.236-15.330  7.138  2.866 15.586
 -29.827 14.226  2.866  0.852 -0.852-21.994  0.000 14.579   0.72
 11818 645 1 1 2 1 1113.7188 1114.7847
 14.193  0.565 15.746 16.348-29.416-15.330  7.089  2.866 15.586
 -29.827 14.226  2.866  0.852 -0.852-21.994  0.000 14.579   0.72
 11818 645 1 1 2 1 1113.7188 1114.7847
 13.713  1.148 16.880 18.104-16.903 -3.329  0.122  4.546 16.642
 -16.108  0.172  4.546  2.751 -2.751 17.347  0.000 12.967   1.37
 11818 645 1 1 2 1 1113.7188 1114.7847
 17.172 -1.587 24.370 22.679 22.264 39.525  3.071  0.489 23.555
  23.383  4.872  0.489  3.545 -3.545 38.480  0.000 16.122  -0.82
 11818 645 1 1 2 2 1113.7188 1114.7847
 15.195  0.328 21.138 21.487 32.615 47.769  9.056  9.418 21.177
  32.428 10.098 13.422  1.727 -1.114 12.678-60.978 15.281   0.14
 11918 5 9 4 2 614 1114.7847 1115.7188
 13.855 -0.195-14.754-14.572 -8.425  3.602 10.680 20.257-15.219
 -11.694 29.479 58.783  5.880 -0.561  9.773 16.150 13.896   0.57
 11918 5 9 4 2 614 1114.7847 1115.7188
 14.003 -0.280-15.437-15.175 -9.837  2.328  1.431  3.631-15.219
 -11.694 29.479 58.783  5.880 -0.561  9.773 16.150 13.896   0.57
 11918 5 9 4 2 614 1114.7847 1115.7188
 14.448 -0.296-15.451-15.175-10.252  2.328  1.294  3.631-15.219
 -11.694 29.479 58.783  5.880 -0.561  9.773 16.150 13.896   0.57
 11918 5 9 4 2 614 1114.7847 1115.7188
 14.244 -0.005-16.797-16.792-15.648 -3.258  0.339  0.562-15.219
 -11.694 29.479 58.783  5.880 -0.561  9.773 16.150 13.896   0.57
 11918 5 9 0 0 1 1 1114.7847 1115.7188
 14.055 -0.453-10.934-10.511-16.108 -3.894  1.450  4.649-10.934
 -16.108  1.450  4.649  0.000  0.000  0.000  0.000 14.055  -0.45
 11918 5 9 0 0 1 1 1114.7847 1115.7188
 13.932 -0.025 -6.602 -6.578 -9.708  2.391  2.561  8.608 -6.602
  -9.708  2.561  8.608  0.000  0.000  0.000  0.000 13.932  -0.02
 11918 5 9 0 0 1 1 1114.7847 1115.7188
 14.327  0.099 16.348 16.441-15.330 -2.862  2.866  4.658 16.348
 -15.330  2.866  4.658  0.000  0.000  0.000  0.000 14.327   0.10
 11918 5 9 0 0 1 1 1114.7847 1115.7188
 15.930 -0.573 16.398 15.864  2.374 16.339  0.127  0.663 16.398
   2.374  0.127  0.663  0.000  0.000  0.000  0.000 15.930  -0.57
 11918 5 9 0 0 1 2 1114.7847 1115.7188
 13.732 -1.352 22.679 21.416 39.525 51.437  0.489  3.952 22.679
  39.525  0.489  4.002  0.000  3.612  0.000 10.241 13.783  -1.36
 12018 645 0 0 1 1 1115.7188 1116.6875
 13.927  0.081 -6.578 -6.657  2.391 14.934  8.608  3.785 -6.578
   2.391  8.608  3.785  0.000  0.000  0.000  0.000 13.927   0.08
 12018 645 5 91412 1115.7188 1116.6875
 13.690 -0.091-14.572-14.484  3.602 15.916 20.257 29.688-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 13.826 -0.028-15.175-15.148  2.328 14.774  3.631  3.468-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 14.350 -0.188-15.565-15.383  1.470 14.424  2.509  2.828-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 14.433 -0.031-15.931-15.901  0.413 13.447  2.104  5.376-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 14.193 -0.194-16.228-16.040 -1.464 11.338  0.767  0.554-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 13.687 -0.244-17.668-17.431 -2.060 10.251 12.673  0.050-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 14.383 -0.264-17.210-16.954 -1.971 11.014  2.877  0.050-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 13.743 -0.062-15.133-15.074 -2.588  9.778  4.851 11.859-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 5 91412 1115.7188 1116.6875
 14.358  0.062-16.792-16.852 -3.258  9.703  0.562  0.050-15.748
   0.371 58.783 56.204  5.319 -0.682 16.150  9.836 15.111  -0.90
 12018 645 0 0 1 1 1115.7188 1116.6875
